model,cv_auc,sd
AdaBoost,0.5943948484848485,0.08400471560783132
Ridge,0.585609090909091,0.0917210505843334
Logistic (L2),0.5828963636363637,0.09754804031140267
SGD (log loss),0.5676696969696969,0.0972124223999717
LDA,0.5648957575757575,0.09125783816745411
Extra trees,0.5539030303030302,0.07938764143422149
XGBoost,0.5531290909090909,0.09358427163535901
Gradient boosting,0.5508515151515152,0.09132012517352345
Random forest,0.5488587878787878,0.08474527935635359
Decision tree (d3),0.5467915151515151,0.08743457942984263
LinearSVC,0.5460763636363637,0.09960095279470216
LightGBM,0.5368060606060607,0.08902463253183826
GaussianNB,0.5285957575757575,0.09017912790464253
kNN (k=15),0.5244948484848485,0.06743031498768817
Extra tree,0.5204112121212122,0.09420305564783146
